"Variable","Group1","Group2","Observed_t","P_value_two_sided"
"Radial_1_Length","Rock","Pelagic",2.51435018620537,0.0229
"Radial_1_Length","Rock","Sand",1.8841022289835,0.081
"Radial_1_Length","Sand","Pelagic",1.69376851466734,0.1092
"Radial_2_Length","Rock","Pelagic",1.56829119693738,0.1452
"Radial_2_Length","Rock","Sand",1.02985677370674,0.3227
"Radial_2_Length","Sand","Pelagic",1.00268436737996,0.3257
"Radial_3_Length","Rock","Pelagic",0.812356870999687,0.4321
"Radial_3_Length","Rock","Sand",0.047713369468502,0.9635
"Radial_3_Length","Sand","Pelagic",1.54470544785885,0.1458
"Radial_4_Length","Rock","Pelagic",0.809772570789829,0.4375
"Radial_4_Length","Rock","Sand",-0.000660262760164876,0.9997
"Radial_4_Length","Sand","Pelagic",1.58959339920322,0.1284
"Radial_1_Width","Rock","Pelagic",0.995974224672994,0.3535
"Radial_1_Width","Rock","Sand",0.281575203654833,0.7745
"Radial_1_Width","Sand","Pelagic",1.02760608028616,0.3265
"Radial_2_Width","Rock","Pelagic",0.994712499666657,0.3381
"Radial_2_Width","Rock","Sand",0.549016941820157,0.5916
"Radial_2_Width","Sand","Pelagic",0.646809564587535,0.5171
"Radial_3_Width","Rock","Pelagic",-0.269640474083293,0.7899
"Radial_3_Width","Rock","Sand",-0.0333876847096811,0.9731
"Radial_3_Width","Sand","Pelagic",-0.370614204139459,0.7108
"Radial_4_Width","Rock","Pelagic",0.740760012979771,0.465
"Radial_4_Width","Rock","Sand",-0.217091938248032,0.8294
"Radial_4_Width","Sand","Pelagic",1.29803708025685,0.2093
"Marginal_Ray_3_Measurement_1","Rock","Pelagic",-0.609452876833594,0.5447
"Marginal_Ray_3_Measurement_1","Rock","Sand",-0.676301329001011,0.4984
"Marginal_Ray_3_Measurement_1","Sand","Pelagic",0.0731985288665791,0.9393
"Marginal_Ray_3_Measurement_2","Rock","Pelagic",-0.516309601191568,0.615
"Marginal_Ray_3_Measurement_2","Rock","Sand",-0.585973882395476,0.5557
"Marginal_Ray_3_Measurement_2","Sand","Pelagic",0.072592219207149,0.9448
"Marginal_Ray_3_Measurement_3","Rock","Pelagic",-0.498251077836204,0.6233
"Marginal_Ray_3_Measurement_3","Rock","Sand",-0.669183094139045,0.5144
"Marginal_Ray_3_Measurement_3","Sand","Pelagic",0.183998165154913,0.8586
"Marginal_Ray_3_Measurement_4","Rock","Pelagic",-0.428085558476575,0.684
"Marginal_Ray_3_Measurement_4","Rock","Sand",-0.694681503267654,0.4953
"Marginal_Ray_3_Measurement_4","Sand","Pelagic",0.279251359030406,0.7855
"Marginal_Ray_4_Measurement_1","Rock","Pelagic",-0.86447310249988,0.3978
"Marginal_Ray_4_Measurement_1","Rock","Sand",-1.48516896624493,0.1623
"Marginal_Ray_4_Measurement_1","Sand","Pelagic",0.942113205603444,0.3629
"Marginal_Ray_4_Measurement_2","Rock","Pelagic",-0.788325760626615,0.4458
"Marginal_Ray_4_Measurement_2","Rock","Sand",-1.58341987742937,0.1385
"Marginal_Ray_4_Measurement_2","Sand","Pelagic",1.11099724910015,0.2719
"Marginal_Ray_4_Measurement_3","Rock","Pelagic",-0.779176825854403,0.4445
"Marginal_Ray_4_Measurement_3","Rock","Sand",-1.65257071436722,0.124
"Marginal_Ray_4_Measurement_3","Sand","Pelagic",1.19747035151281,0.2525
"Marginal_Ray_4_Measurement_4","Rock","Pelagic",-0.773674602314514,0.4556
"Marginal_Ray_4_Measurement_4","Rock","Sand",-1.6938920201373,0.1109
"Marginal_Ray_4_Measurement_4","Sand","Pelagic",1.20699056677343,0.2457
"Marginal_Ray_5_Measurement_1","Rock","Pelagic",-0.874963157569036,0.3897
"Marginal_Ray_5_Measurement_1","Rock","Sand",-1.57847238526685,0.1344
"Marginal_Ray_5_Measurement_1","Sand","Pelagic",1.06156091343159,0.2911
"Marginal_Ray_5_Measurement_2","Rock","Pelagic",-0.799434954939422,0.4281
"Marginal_Ray_5_Measurement_2","Rock","Sand",-1.6754091315779,0.1127
"Marginal_Ray_5_Measurement_2","Sand","Pelagic",1.25513482345842,0.2212
"Marginal_Ray_5_Measurement_3","Rock","Pelagic",-0.819018531564407,0.4214
"Marginal_Ray_5_Measurement_3","Rock","Sand",-1.81962026518747,0.0892
"Marginal_Ray_5_Measurement_3","Sand","Pelagic",1.45875564569388,0.163
"Marginal_Ray_5_Measurement_4","Rock","Pelagic",-0.773091116687502,0.4471
"Marginal_Ray_5_Measurement_4","Rock","Sand",-1.91342298472191,0.0715
"Marginal_Ray_5_Measurement_4","Sand","Pelagic",1.52801704902345,0.1395
