"Variable","Group1","Group2","Observed_Var_Ratio","P_value_two_sided","P_value_BH"
"Radial_1_Length","Rock","Pelagic",6.19697606705515,0.0472,0.0708
"Radial_1_Length","Rock","Sand",9.78652691818067,0.0127,0.0381
"Radial_1_Length","Sand","Pelagic",0.633215043382027,1,1
"Radial_2_Length","Rock","Pelagic",3.75334519667398,0.0902,0.1569
"Radial_2_Length","Rock","Sand",3.44172543219002,0.1046,0.1569
"Radial_2_Length","Sand","Pelagic",1.09054172699815,0.9211,0.9211
"Radial_3_Length","Rock","Pelagic",5.08150768445259,0.0833,0.12495
"Radial_3_Length","Rock","Sand",4.16873090713202,0.0707,0.12495
"Radial_3_Length","Sand","Pelagic",1.21895795090994,0.8502,0.8502
"Radial_4_Length","Rock","Pelagic",4.38539146842339,0.143,0.2169
"Radial_4_Length","Rock","Sand",4.1650934489904,0.1446,0.2169
"Radial_4_Length","Sand","Pelagic",1.05289149502429,0.9413,0.9413
"Radial_1_Width","Rock","Pelagic",3.03260128384153,0.4248,0.6285
"Radial_1_Width","Rock","Sand",1.71133984823267,0.5749,0.6285
"Radial_1_Width","Sand","Pelagic",1.7720625666336,0.6285,0.6285
"Radial_2_Width","Rock","Pelagic",1.02226341573163,0.9671,1
"Radial_2_Width","Rock","Sand",1.65829446829351,0.6602,1
"Radial_2_Width","Sand","Pelagic",0.616454698051066,1,1
"Radial_3_Width","Rock","Pelagic",2.27251678195155,0.3285,0.49275
"Radial_3_Width","Rock","Sand",2.57258503084774,0.2359,0.49275
"Radial_3_Width","Sand","Pelagic",0.883359249432738,1,1
"Radial_4_Width","Rock","Pelagic",1.57033009305568,0.5136,0.7704
"Radial_4_Width","Rock","Sand",1.81452967013928,0.4193,0.7704
"Radial_4_Width","Sand","Pelagic",0.865419904065354,1,1
